id,photoId,image
1,1,assets/images/photos_gallery/Travel_Adventure_photo_1.jpg
2,2,assets/images/photos_gallery/Nature_photo_1.jpg
3,3,assets/images/photos_gallery/Sports_photo_1.jpg
4,4,assets/images/photos_gallery/Art_photo_1.jpg
5,5,assets/images/photos_gallery/Travel_Adventure_photo_2.jpg
6,6,assets/images/photos_gallery/Nature_photo_2.jpg
7,7,assets/images/photos_gallery/Art_photo_2.jpg
8,8,assets/images/photos_gallery/Travel_Adventure_photo_3.jpg
9,9,assets/images/photos_gallery/Nature_photo_3.jpg
10,10,assets/images/photos_gallery/Sports_photo_3.jpg
11,11,assets/images/photos_gallery/Art_photo_3.jpg
12,12,assets/images/photos_gallery/Travel_Adventure_photo_4.jpg
13,13,assets/images/photos_gallery/Nature_photo_4.jpg
14,14,assets/images/photos_gallery/Sports_photo_4.jpg
15,15,assets/images/photos_gallery/Art_photo_4.jpg
